feature,overall_mean_importance,overall_std_importance,total_combinations,rank
Lesion Size_ai_correct,8.089448581273246,15.4209018164067,16,1
Invasive Component Size (Pathology)_ai_correct,4.7306823984117194,9.113512090215027,17,2
Workup Recommendation_ai_correct,3.723188890089445,7.449397747965013,17,3
Chronology Preserved_ai_correct,3.4790165794456698,7.45956811724412,16,4
Receptor Status_ai_correct,3.375176280463005,7.270336484175586,17,5
Accurate Clip Placement_ai_correct,3.3419246239055234,7.307877511871099,17,6
Calcifications / Asymmetry_ai_correct,3.0625695083838176,5.982446284712112,17,7
Lymph Node_ai_correct,2.7079179271617355,5.854819884183548,17,8
Extent_ai_correct,2.3504628461292563,4.01017988932381,17,9
Additional Enhancement (MRI)_ai_correct,2.2079961290092847,4.424476121312411,19,10
Biopsy Method_ai_correct,1.7231843257322907,4.695273708275024,16,11
Histologic Diagnosis_ai_correct,1.5468017357361532,3.9054561523345894,16,12
Lesion Location_ai_correct,1.0281646124785766,2.202361209998997,16,13
Lesion Laterality_ai_correct,0.0010344094916945323,0.002573037860196544,16,14
