,Element,Total_Evaluated,Human_Accuracy,AI_Accuracy,Accuracy_Difference,Agreement_Rate,Human_Fabrication_Rate,AI_Fabrication_Rate,Human_Miss_Rate,AI_Miss_Rate
0,Lesion Size,198,0.9646464646464646,0.9545454545454546,0.010101010101010055,0.92,0.01,0.02,0.025,0.025
1,Lesion Laterality,200,0.995,0.995,0.0,1.0,0.0,0.0,0.005,0.005
2,Lesion Location,199,0.9849246231155779,0.9798994974874372,0.005025125628140725,0.965,0.0,0.0,0.015,0.02
3,Calcifications / Asymmetry,141,0.9432624113475178,0.9787234042553191,-0.03546099290780136,0.945,0.0,0.0,0.04,0.015
4,Additional Enhancement (MRI),92,0.9130434782608695,0.9782608695652174,-0.0652173913043479,0.95,0.0,0.0,0.04,0.01
5,Extent,123,0.9024390243902439,0.967479674796748,-0.06504065040650409,0.92,0.005,0.005,0.055,0.015
6,Accurate Clip Placement,182,0.8681318681318682,0.967032967032967,-0.09890109890109888,0.84,0.0,0.005,0.125,0.025
7,Workup Recommendation,162,0.8333333333333334,0.9197530864197531,-0.08641975308641969,0.85,0.0,0.01,0.135,0.055
8,Lymph Node,178,0.7415730337078652,0.9550561797752809,-0.2134831460674157,0.8,0.0,0.0,0.23,0.04
9,Chronology Preserved,199,0.9748743718592965,0.9899497487437185,-0.015075376884422065,0.965,0.005,0.005,0.02,0.005
10,Biopsy Method,199,0.9296482412060302,0.9949748743718593,-0.0653266331658291,0.925,0.005,0.005,0.065,0.0
11,Invasive Component Size (Pathology),164,0.3780487804878049,0.9451219512195121,-0.5670731707317073,0.505,0.0,0.01,0.51,0.035
12,Histologic Diagnosis,200,0.98,0.975,0.0050000000000000044,0.955,0.0,0.005,0.02,0.02
13,Receptor Status,187,0.9625668449197861,0.8609625668449198,0.10160427807486627,0.86,0.005,0.01,0.03,0.12
